id,accountId,amount,transactionType,transactionDate
34,BH55 DKLR 4FUL TH8R 6ZYM 28,5384.98,Ingreso,2023-01-08
35,LI75 7582 67EG JTB3 SUO7 K,3975.8,Ingreso,2023-09-24
36,FR66 3081 1683 758V 4BZS XXHV 827,9440.05,Ingreso,2023-04-25
37,FR42 4035 4140 36AD QXBA 7MPV 106,5749.97,Ingreso,2023-04-23
38,IL68 8731 3662 3309 4171 288,-4930.87,Retiro,2022-12-21
39,MR84 1844 1521 8788 6753 7267 340,-3179.8,Retiro,2023-05-04
40,CR73 2618 5276 0404 3419 8,-9412.96,Retiro,2023-12-02
41,TR55 9268 9SVM CSBK BOXK ZJ82 KE,5626.4,Ingreso,2023-07-26
42,RS84 6672 8453 4274 7518 13,1630.9,Ingreso,2023-09-04
43,FR67 4697 7637 45CM LKD3 LQQR O58,6856.91,Ingreso,2023-05-26
44,FR98 3039 8367 16E0 AW6M HX1Z S20,3484.24,Ingreso,2023-12-12
45,VG71 EYET 1976 7647 2486 4161,3281.43,Ingreso,2023-08-27
46,GR38 0894 372B JRJ2 XTDV 7ICX CPD,3885.78,Ingreso,2023-12-15
47,PS21 FMCO 9TEZ NRJQ XRM8 RIER IQD1 E,-4308.14,Retiro,2023-08-04
48,FR51 1337 3238 70BW R0IS X150 670,3736.32,Ingreso,2023-09-20
49,AT53 9395 8659 7310 9871,4214.89,Ingreso,2023-02-15
50,FR95 8941 9823 99CE QOBQ LMLA 679,2020.59,Ingreso,2023-12-03
51,BH68 PNJL 63WO ZDWM GJ6X FD,2462.7,Ingreso,2023-10-30
52,GL44 8902 5043 2515 21,-9355.39,Retiro,2023-09-01
53,CR03 0700 5435 2002 9357 9,1617.61,Ingreso,2023-06-11
54,AL51 0372 6047 8APP DLIR GQNV WQ60,-5526.96,Retiro,2023-07-30
55,LT57 7182 1532 8573 6169,7419.5,Ingreso,2023-10-13
56,NO05 8738 3010 707,-7178.04,Retiro,2023-03-17
57,DE24 6775 9559 8251 5773 42,2966.49,Ingreso,2023-05-18
58,AZ79 GCSU SB4P JSBS YJOY 1MSI IP78,-3369.1,Retiro,2023-11-30
59,TN39 1997 0081 7912 5584 0436,6264.14,Ingreso,2023-11-21
60,CY50 1805 9953 VBPO XZIC PUKL CCYY,513.65,Ingreso,2023-07-19
61,AT27 9129 0295 0144 0869,-6846.81,Retiro,2023-09-29
62,LT08 6902 9143 3239 0034,2768.42,Ingreso,2023-09-23
63,FR67 9795 4340 377U LQHE S2MU C04,-1911.85,Retiro,2023-09-07
64,PL09 1761 7706 0618 6573 8312 0556,4661.17,Ingreso,2023-02-01
65,AZ80 UINJ HFJQ WTAI ZHMQ 0VYD WEDZ,-182.24,Retiro,2023-04-06
66,DO44 WBJ5 0421 7984 2662 9173 9977,-7804.17,Retiro,2023-10-16
67,FR31 2124 6787 95CS SDN1 LXB7 J47,-4677.14,Retiro,2023-10-27
68,FR12 5479 5355 97MN E88Q UQC4 J81,-4962.59,Retiro,2023-12-02
69,BG22 PRFV 8201 04ID DY6Y WC,-7502.62,Retiro,2023-02-11
70,PK74 YRLC JE4P FEG1 VY3X 4LZ0,6105.83,Ingreso,2023-06-30
71,DK48 4592 6036 9089 52,2217.55,Ingreso,2023-11-13
72,PL43 2252 7947 5837 3692 4376 3263,3165.26,Ingreso,2023-07-18
73,BH34 ENRG 53MC PEJ3 TTUS O6,-7903.53,Retiro,2023-06-30
74,GL59 3984 3510 6502 18,1388.37,Ingreso,2023-11-28
75,FR68 2152 9058 021W HIMX 5NLO V09,-7937.49,Retiro,2023-02-23
76,SK66 1795 8778 6173 2570 4826,243.44,Ingreso,2023-04-24
77,AZ66 AWQL IZZW IWDD IWGL YDPE KBJP,-8356.75,Retiro,2023-07-08
78,NO25 4543 4231 946,-3271.81,Retiro,2023-12-11
79,FR57 5935 8203 57WW UHSV PBIM B87,-3049.29,Retiro,2023-07-31
80,GI47 WPIH FIJY 4101 5ABU VCS,-241.86,Retiro,2023-08-06
81,GB26 XFAW 4921 6424 1622 86,1709.59,Ingreso,2023-08-08
82,FR70 8394 5459 99EP NZ54 A6CK F00,326.24,Ingreso,2023-12-12
83,KW80 IQPW JJBF OX5F VYE1 5GT6 I4ZN KS,-9580.47,Retiro,2023-01-18
84,HU17 1419 0318 7985 3110 6272 1052,2597.81,Ingreso,2023-11-14
85,SI85 2543 0262 1629 432,-3622.83,Retiro,2023-06-01
86,TN15 2385 2766 1486 0092 4708,5914.16,Ingreso,2023-10-19
87,FR69 4466 8707 15LZ JTFM LVW2 O32,-4983.12,Retiro,2023-10-14
88,RO35 ALOC HFRG W6HE XVHA RRYF,3330.94,Ingreso,2023-01-29
89,FR52 4776 1745 119S CRS7 LEKL E28,-3310.3,Retiro,2022-12-30
90,RS19 4352 7327 7680 4885 97,8602.85,Ingreso,2023-11-17
91,SM85 S972 6590 431K KYWT YR4L WEI,-8111.98,Retiro,2023-02-15
92,FR05 5914 8993 770R O3NR XAUS F86,-950.71,Retiro,2023-03-24
93,DO93 BFKC 7009 0693 0420 7529 7864,-8140.68,Retiro,2023-03-15
94,FI96 3596 0317 2000 65,-4829.03,Retiro,2023-02-13
95,BR44 0526 2329 8176 3425 5339 024H Y,1744.33,Ingreso,2023-01-23
96,SM07 H514 0339 773N RH5M FP3A L4T,-6198.45,Retiro,2023-08-25
97,SM44 E569 6993 709K FTK7 IACT UYT,9987.51,Ingreso,2023-11-14
98,HU60 5037 2864 3346 5458 1726 3398,2186.13,Ingreso,2023-05-24
99,FR23 8548 8397 329C 1PTD 2MCZ L35,8049.37,Ingreso,2023-02-12
100,IE18 HIGH 1063 0525 9482 77,-4737.52,Retiro,2023-08-09
101,AZ11 GUQW 27TR PISX 7H2Z U9D0 UBCS,1651.31,Ingreso,2023-11-01
102,CZ64 7608 9732 7761 9147 7364,2893.18,Ingreso,2023-02-26
103,SM64 C485 9639 064S QI4E YQMF 8ID,-4609.61,Retiro,2023-03-15
104,DK02 3795 4888 7967 90,9974.43,Ingreso,2023-10-06
105,CY67 8911 4026 TYEG KS0W 9R95 PJM6,-2646.69,Retiro,2023-04-13
106,ES31 5895 0402 8270 8341 8878,-1589.67,Retiro,2023-11-29
107,PL94 0192 8874 1258 1846 4198 9147,437.84,Ingreso,2023-06-28
108,IS19 2163 7449 7002 2048 4365 17,-4616.25,Retiro,2023-07-28
109,RS50 7416 9699 5283 8077 35,-8101.64,Retiro,2023-12-05
110,MU30 RYZB 4511 0456 7018 8252 476O LK,-8189.5,Retiro,2023-04-21
111,MT09 NQTY 2012 0X3T NSG2 GQNJ VNIP 7OI,-9146.34,Retiro,2023-03-06
112,FR95 2494 7043 38GW WCVT YDK6 208,-604.63,Retiro,2023-10-31
113,FR60 5430 3459 02ON V9L3 NFY1 Y35,-3959.22,Retiro,2023-06-27
114,FR33 5497 4998 23BD JRLO HU6S U97,-460.63,Retiro,2023-04-27
115,FI89 9893 2164 4426 84,-2562.3,Retiro,2023-08-24
116,BA34 6984 9302 2593 7537,2194.64,Ingreso,2023-03-22
117,MC19 5463 6614 38HT KBEX LY93 332,-7028.49,Retiro,2023-12-14
118,FR91 2981 1803 04RA TR3I ZTJH 096,5242.36,Ingreso,2023-12-14
119,MU16 JJIM 0498 2498 6550 8243 394R CV,5650.75,Ingreso,2023-02-10
120,FR35 9294 9275 44HH 3XJN ZMGP 878,-3279.66,Retiro,2023-11-12
121,FI02 4859 4030 6858 33,-310.74,Retiro,2023-01-31
122,FR79 2079 9631 18L7 1DFX RJCH Y92,-8544.39,Retiro,2023-07-29
123,CZ13 0522 6409 4652 2021 3862,-2148.95,Retiro,2023-07-30
124,DK05 8129 3268 7102 69,2912.1,Ingreso,2023-04-19
125,IT29 Q783 0472 4371 065H VFWW CR3,-937.54,Retiro,2023-10-10
126,LU74 689N KUWP 9Q7S AWLR,-8080.52,Retiro,2023-06-27
127,AT16 7966 0809 9774 7446,-9744.71,Retiro,2023-08-06
128,PL44 1390 3754 5805 5238 4298 0095,-8779.53,Retiro,2023-12-16
129,PT63 4199 1479 0561 3966 1129 9,-4651.9,Retiro,2023-09-11
130,SI97 4519 8590 5443 752,3373.2,Ingreso,2023-03-11
131,ME77 1618 8648 4843 3436 39,7399.97,Ingreso,2023-08-19
132,MC50 8140 4455 543U KBYM FNS5 331,6763.09,Ingreso,2023-06-18
133,DK46 3882 4463 5740 96,-5186.22,Retiro,2023-08-28
134,FR20 8604 2174 42TD WLXD CF1N N24,7384.25,Ingreso,2023-02-13
135,MU80 NRYB 9833 1605 9728 9846 990U XK,5247.5,Ingreso,2023-05-20
136,LB28 4896 XJYM RZTK YUWR DZ7X POIF,3383.61,Ingreso,2023-11-19
137,BH57 DEPT F2YX 6P9K 9OEY TS,7682.07,Ingreso,2023-03-08
138,HR75 8916 6783 6973 7573 2,-6786.71,Retiro,2023-03-25
139,KW69 LRDB F6AK 2JQV V3YR ZTKE DKKW NI,-8441.52,Retiro,2023-05-16
140,GI32 WZBZ UZ65 4I6O T7UH 8LR,6545.6,Ingreso,2023-12-15
141,IT03 Z195 3995 146T SHNE CXWK NAD,-8748.39,Retiro,2023-01-14
142,GE36 WP92 7385 4520 5927 35,7196.41,Ingreso,2023-03-14
143,DO17 TRWA 7226 4733 8390 8903 8103,4325.84,Ingreso,2023-07-23
144,FR37 1569 9740 65DR WGB1 C2TA G40,-1311.75,Retiro,2023-05-23
145,FR69 9458 1267 41UY J77A KY00 E25,-6150.91,Retiro,2023-08-06
146,AL33 2928 3888 XLAX KVQY 95JM T8ZV,6886.41,Ingreso,2023-10-28
147,SM93 H941 1525 474D 939Z VJKY 7BE,4867.12,Ingreso,2023-10-29
148,PT06 8318 8475 9736 7231 3212 8,-9674.47,Retiro,2023-01-23
149,FR88 6502 8024 39HB IA5A GIGS I09,-5842.39,Retiro,2023-02-26
150,LU11 916G 5SE7 Z6BJ 6SGM,964.93,Ingreso,2023-09-30
151,SE07 9957 5495 4364 2906 5121,6687.16,Ingreso,2023-01-29
152,DE96 6446 4577 9499 0844 56,8012.18,Ingreso,2023-10-01
153,BE29 3555 2802 2430,4724.09,Ingreso,2023-04-11
154,NO16 6026 6177 643,-1901.02,Retiro,2023-07-05
155,MU53 IRBS 0148 8100 1340 8215 120K DS,-3367.69,Retiro,2023-11-08
156,IL11 0222 4242 2079 4519 214,-5396.48,Retiro,2023-01-23
157,PL73 8585 8997 8593 4294 2869 8475,2325.15,Ingreso,2023-11-29
158,CZ83 9276 7097 8714 4684 3180,2394.72,Ingreso,2023-04-03
159,FR19 3890 8447 15PA RGZW DEBS Q34,4826.28,Ingreso,2023-03-08
160,CZ79 4308 6995 3957 2487 7926,6389.08,Ingreso,2023-11-01
161,HU06 3237 2768 9333 7664 9960 8426,7360.38,Ingreso,2023-02-21
162,CR49 5716 7317 1938 5715 6,8135.4,Ingreso,2023-07-24
163,MT07 INVM 8171 3N7R C10D 8RVV XJYF MFG,-2009.17,Retiro,2023-06-05
164,MK06 973K EMYD BTWI N12,-6761.96,Retiro,2023-11-21
165,CH69 3985 4II6 BYRL N26A 7,-2881.75,Retiro,2023-09-12
166,FR38 2334 2600 817G X2NJ PT61 B75,-6730.28,Retiro,2023-04-26
167,FO49 7012 7354 1501 12,-5416.92,Retiro,2022-12-29
168,HU98 0447 6620 0172 3790 0613 3471,629.01,Ingreso,2023-06-07
169,MK43 113G 7GQX NFYS T14,8587.27,Ingreso,2023-04-18
170,BG44 HCNX 2412 34LT IVKO WW,-9512.26,Retiro,2023-12-05
171,GR63 0288 186A DSTE IHDD NLBT 3YM,9860.22,Ingreso,2023-10-27
172,MU39 XEAV 6375 0078 3599 6850 341H QL,-8154.64,Retiro,2023-07-06
173,CZ86 1192 1128 0746 1262 0516,-8262.3,Retiro,2023-04-28
174,AE28 6412 5622 9281 9103 484,4504.03,Ingreso,2023-11-15
175,SA41 43XN IC4S ZTAI HKH3 WJBE,4398.16,Ingreso,2023-08-13
176,TR13 8042 7YJG LHTB FAAD 4ULQ GB,9059.14,Ingreso,2023-03-29
177,MD53 ZRSO F2UQ NZWG AWW1 KTYL,8249.98,Ingreso,2023-11-12
178,MR60 6169 6312 9200 9612 2954 386,6908.51,Ingreso,2023-04-02
179,FR97 2966 7979 0276 CJJA GOGE Y73,-6158.5,Retiro,2023-07-23
180,BG64 WTKV 1605 28NF TJGK O5,9821.38,Ingreso,2023-01-23
181,HU52 4413 5830 4746 0926 3890 4399,-137.4,Retiro,2023-12-02
182,PS04 QQBW ZIUQ PI1M PK1K QSO2 LHTR 9,4101.15,Ingreso,2023-03-11
183,IE10 QALC 1595 5418 5480 43,-1779.37,Retiro,2023-06-30
184,SE44 1053 8795 9553 2817 3908,1058.09,Ingreso,2023-09-03
185,PL93 4391 9704 7257 3362 6533 8734,-8365.14,Retiro,2023-06-09
186,GE60 EJ80 9182 2534 7537 06,7072.31,Ingreso,2023-02-05
187,RO10 CCSW PACH EBHI 7IWO NW3F,-2318.76,Retiro,2023-11-25
188,LT81 7937 8040 9972 2779,1194.29,Ingreso,2023-02-11
189,LV71 ODTS T2ZF T0IQ JRLD D,5075.63,Ingreso,2023-11-26
190,HU06 5250 9574 2387 5062 7150 6464,1065.12,Ingreso,2023-08-11
191,AD85 9744 0282 FKYP NGJV TDCK,7185.63,Ingreso,2023-10-29
192,GE59 WR14 9270 6095 1564 73,-1729.57,Retiro,2023-10-01
193,FR20 9152 0796 08UP GWKD LJFF Z57,6501.4,Ingreso,2023-09-24
194,BE19 2336 0802 6053,2730.45,Ingreso,2023-09-06
195,BH34 VYLV THLF QTPU 6H3B BL,-2237.86,Retiro,2023-08-13
196,CZ81 4167 4531 2284 9835 1439,2642.29,Ingreso,2023-04-19
197,FR82 6876 2430 81HH 255Y Y0PH E60,-291.97,Retiro,2023-11-29
198,CZ11 8730 8022 5136 7602 4307,-307.55,Retiro,2023-03-28
199,FR13 5826 6407 44MS YO7O WEXN O06,5911.26,Ingreso,2023-08-23
200,BH51 HBLF PSUT 1VOG RYQP YP,-3149.27,Retiro,2023-08-23
201,FR81 3377 6458 446J FVRF GMOC P32,8484.82,Ingreso,2023-08-27
202,AT24 8816 8478 5658 1069,-8850.12,Retiro,2023-10-22
203,LI46 4543 5938 4OJJ OQOR X,-3039.41,Retiro,2023-01-19
204,AT23 0825 6883 1438 5309,6786.09,Ingreso,2023-06-25
205,MD46 TIJ8 SWEY NDKR BECK APMF,1333.4,Ingreso,2023-04-19
206,BG04 JWOJ 3915 51VZ 3PCK DL,-6201.51,Retiro,2023-06-05
207,HU73 5910 0380 5215 9611 9209 2489,5435.52,Ingreso,2023-10-29
208,SA22 72MV YGBM NPKX PRAP P7P9,962.26,Ingreso,2023-10-17
209,FO39 4273 6674 0314 57,-6487.66,Retiro,2023-06-08
210,MD62 GUYS 353Y 1CJV BGWR ZTNY,-3267.56,Retiro,2023-12-05
211,HU86 0827 0079 7708 1209 9848 3565,-3548.61,Retiro,2023-08-19
212,IT93 X328 0400 597M S2RQ SL4U XAD,-6207.04,Retiro,2023-11-01
213,FR84 6805 5402 30FM TCJP YQJX J94,-9492.87,Retiro,2023-09-25
214,AT15 9351 1871 0619 2778,3963.54,Ingreso,2023-11-05
215,PS32 TYZK ZN2N CL5I 6VXZ X0KL DETC Y,-840.87,Retiro,2023-10-02
216,FR53 2035 4839 36NO 6SLH GXPT H93,7743.17,Ingreso,2023-02-11
217,TR11 9564 3VUG VQOM PUNZ QGCI FM,3654.36,Ingreso,2023-06-06
218,SE89 8854 2959 8411 8510 7701,-5551.88,Retiro,2022-12-31
219,DK86 8719 0254 4060 65,-3020.96,Retiro,2023-05-16
220,KW38 QKRY HSKC B8VI DMIX GDMU FVBO K1,-5342.75,Retiro,2023-11-23
221,KZ15 7316 1DSZ OIIY UEZD,3245.07,Ingreso,2023-07-14
222,LU70 148O QYNT 5CZK IIUN,9377.08,Ingreso,2023-05-17
223,PT84 1547 0608 2529 4584 1348 2,2849.39,Ingreso,2023-02-18
224,MR68 1284 6821 3175 2336 8693 669,-3785.86,Retiro,2023-05-21
225,FR09 0473 7672 63GY IAY1 YQ5C 505,3924.54,Ingreso,2023-11-07
226,MC20 1728 9666 58CC S72Y 7DVD 798,-6481.3,Retiro,2023-12-14
227,BG83 MDIV 3951 993J JVUD Q5,4315.07,Ingreso,2023-06-28
228,BG14 ZFMZ 0849 13FG EUGH NW,-7196.74,Retiro,2023-01-03
229,IL91 3795 2281 7423 5276 455,4166.45,Ingreso,2023-01-15
230,AL72 8267 0351 M2EC MJFZ SIY3 3CRK,-6246.11,Retiro,2023-12-17
231,SI65 0526 0289 8637 248,-1865.51,Retiro,2023-10-02
232,GB13 DJKF 4884 9036 8925 34,14.97,Ingreso,2023-09-22
233,LT57 8344 9718 6529 9656,1909.89,Ingreso,2023-10-27
234,AL65 5199 3321 MGAQ OCMR 8RTD JEG4,2922.21,Ingreso,2023-01-26
235,KZ48 423E UTFK YXSA 6VY0,4971.63,Ingreso,2022-12-25
236,GR25 1523 766R Y5QD JDT5 1VUS FFE,1407.15,Ingreso,2022-12-31
237,MK31 840H 6RIM MJSG Z63,-2646.01,Retiro,2023-02-10
238,HR46 9057 1722 8045 1888 0,-4581.99,Retiro,2023-04-10
239,SE74 5848 5044 0198 7312 0410,1372.01,Ingreso,2023-07-23
240,PT64 3125 8842 3990 3626 4355 1,3561.05,Ingreso,2023-02-18
241,MU88 CXEO 0049 4258 8635 9572 157H NR,-8626.97,Retiro,2023-08-17
242,LU67 4413 C3XK BGOA NFSO,-7141.97,Retiro,2023-06-10
243,LU44 547L TFZN LIWE BPBS,-5087.79,Retiro,2023-07-24
244,FR08 2849 3473 56QY S2EQ VPJA H81,2099.98,Ingreso,2023-05-01
245,IS09 0033 9568 1960 8119 2479 98,5849.79,Ingreso,2023-06-16
246,ES84 2147 3465 0852 5649 1323,-6426.64,Retiro,2023-07-28
247,EE58 3959 6580 2016 5610,-4795.96,Retiro,2023-02-22
248,MT80 HKBV 2021 5PFY OZDY P3KQ 8KGU LYX,-5981.47,Retiro,2023-11-05
249,TR89 7189 1CPN XDE5 GOHV B24Q KF,-2899.29,Retiro,2023-04-12
250,HR38 2405 0901 3300 0777 3,-69.96,Retiro,2023-12-08
251,HU43 6152 5888 8231 8488 6377 8673,6980.65,Ingreso,2023-09-30
252,GB87 VHSD 6560 2460 8282 55,2126.42,Ingreso,2023-03-18
253,SM62 N981 9500 072Y SDA7 ZCQP 9PP,-9610.54,Retiro,2023-12-02
254,BE08 1710 3838 1600,-9309.49,Retiro,2023-03-18
255,HR07 5316 0145 7900 9105 2,-6081.91,Retiro,2023-05-02
256,NO87 0864 3254 187,1313.47,Ingreso,2023-09-04
257,EE51 7724 0674 1327 4477,7224.35,Ingreso,2023-07-15
258,AZ35 UDDX ZB1C H94I OYKN 6NGY MZRI,-2192.4,Retiro,2023-07-02
259,DE47 1692 0422 2089 8608 57,-2282.09,Retiro,2023-01-09
260,SM91 V314 4848 431W Q9KL 8BK1 JTY,-5729.02,Retiro,2023-06-19
261,FR95 3217 7557 36PX QDKM O52T B03,-4731.96,Retiro,2023-02-23
262,FR70 3246 4176 22TD GMSM SR17 Q59,3005.76,Ingreso,2022-12-31
263,FR50 7753 2430 31VY SAEQ JHEE G19,628.41,Ingreso,2023-11-25
264,ES61 1791 5966 8825 9725 1768,5940.4,Ingreso,2023-09-29
265,FR75 8606 9116 65Y8 ZM1I 8CAV 171,8567.49,Ingreso,2023-09-09
266,LV07 ZDDI 3YHS LSQM 5SSR Q,1753.88,Ingreso,2023-05-12
267,HR21 6201 5133 4770 0513 9,8976.18,Ingreso,2023-10-27
268,FR83 5665 9401 1300 ORYJ YDZ7 V48,-2868.95,Retiro,2023-09-24
269,AZ61 VOEH SHOX QNRW 9ZKY ZSM7 AH57,-101.68,Retiro,2023-09-30
270,LI93 8457 1Q2V ML9R KEDC L,6748.3,Ingreso,2023-03-07
271,FR17 4307 6804 97CS WK8N 3YIK J82,-8808.7,Retiro,2023-11-25
272,FR23 7653 8714 96X5 MMHU QQXM E37,-270.34,Retiro,2022-12-22
273,BR66 1730 6007 8279 9257 2220 499T 3,2497.07,Ingreso,2023-02-28
274,TR87 0136 2QZF WKWS RZ3E CQVJ CH,5397.19,Ingreso,2023-09-11
275,BG94 MAHL 4597 49TU IKAH R3,447.25,Ingreso,2023-07-29
276,EE15 6453 1288 9994 8838,7806.32,Ingreso,2023-05-15
277,FR70 3789 6454 742L XX6J VXTM P91,6323.51,Ingreso,2023-07-19
278,BG91 SJAD 5643 24SG HM4Q XW,8385.15,Ingreso,2023-08-11
279,FR81 6708 2348 17OF NRA8 UNIX M23,2547.97,Ingreso,2023-08-04
280,LI72 8997 9ORO TYV6 SV4K Q,6888.07,Ingreso,2023-05-31
281,FR92 1883 0176 72TS JM3D EHCS I22,4562.76,Ingreso,2023-09-03
282,FR58 9497 5030 421G EKAL HPPQ L90,6352.08,Ingreso,2023-07-15
283,RS57 0699 7389 7797 0359 01,7391.95,Ingreso,2023-06-29
284,AT17 0206 4942 6042 2287,-40.15,Retiro,2023-09-02
285,DE29 1598 0083 3809 9274 17,6670.29,Ingreso,2023-03-07
286,FR16 0112 3534 82EH 5HH7 OBHR G86,6968.78,Ingreso,2023-09-29
287,BE90 8215 4703 2329,-7002.93,Retiro,2023-07-30
288,BH96 DGJU YBXD ZNZ9 CUWH CQ,-4483.62,Retiro,2023-02-02
289,MK71 262L HR5Q MDNP B34,-8102.27,Retiro,2023-11-14
290,FR58 8278 5745 66CF 8LLN VXLX H06,-7846.33,Retiro,2023-04-04
291,SK66 5312 3865 3608 0524 3006,6813.05,Ingreso,2023-04-05
292,NO30 7854 0802 597,-3492.54,Retiro,2023-03-02
293,PL70 5445 3613 8940 3694 4801 5262,308.02,Ingreso,2023-02-16
294,MU71 TKOM 2963 3318 7989 5265 459F UM,-313.07,Retiro,2023-11-23
295,KZ47 3319 DHHQ CHNL JLYL,902.26,Ingreso,2023-09-07
296,GL30 0707 2185 4634 53,176.7,Ingreso,2023-04-29
297,DO33 WWTM 8657 2711 8586 0191 7736,-2461.82,Retiro,2023-04-29
298,FR56 7771 9807 74H9 ZUXY Z2DI B91,6943.09,Ingreso,2023-01-05
299,GB38 CTZS 5177 5340 9387 08,2247.55,Ingreso,2023-03-03
300,FR03 7595 0102 60EU GNWS J9GI J36,2918.75,Ingreso,2023-11-05
301,NL59 ZWHN 9228 1737 54,-8496.47,Retiro,2022-12-22
302,FR06 5501 1741 48NK BHQ5 LM75 B68,9453.59,Ingreso,2023-03-07
303,AL52 6563 5459 GV5C BGBH C4SG SCJK,-8777.53,Retiro,2023-08-27
304,FR57 9547 6265 167R 1MLD DCNB A13,-4594.15,Retiro,2023-12-02
305,CH16 4416 5E2I W7T0 GOOG V,8591.76,Ingreso,2023-01-21
306,SK21 8019 1218 0401 5790 7172,-9133.49,Retiro,2023-06-15
307,FO50 8725 8155 0336 66,7015.46,Ingreso,2023-08-07
308,AE30 3632 5508 2619 3996 037,3723.69,Ingreso,2023-06-12
309,NL64 RYBN 7479 7884 45,5823.09,Ingreso,2023-02-27
310,BE37 2341 3560 3491,1312.3,Ingreso,2023-04-22
311,IL54 6032 9538 3956 6034 260,-3765.56,Retiro,2023-06-27
312,KW66 RTBW 8KAN 0WQC 7LPO QGJO IWKZ 8H,5810.45,Ingreso,2023-11-07
313,MK03 138Y BRN3 HN8U W90,-939.21,Retiro,2023-11-03
314,PL70 5312 4621 9771 6804 5625 7201,-9632.03,Retiro,2023-07-25
315,LV03 MKNR FOXJ ELJF TEFK S,-8402.27,Retiro,2023-01-03
316,LU53 7556 TF2L YLYD TSTL,-8247.64,Retiro,2023-02-27
317,FR12 8275 6775 58OM PBYC KKR0 M08,-3368.83,Retiro,2023-02-10
318,VG41 MCVU 0267 3688 0598 4733,-8745.69,Retiro,2023-08-03
319,SM96 W801 8292 5297 XH32 POHC A60,-1601.99,Retiro,2023-02-12
320,NL20 LJGZ 7398 5656 46,-3992.29,Retiro,2023-10-06
321,DK30 3727 5880 2446 69,-2700.86,Retiro,2023-05-05
322,SM39 E236 2425 139Q ZBO7 FXAZ PM7,3510.12,Ingreso,2023-03-21
323,PK25 OFMH INWJ TLVB HQPC 2VHP,-7536.7,Retiro,2023-02-12
324,DK14 1653 4649 2312 16,7887.04,Ingreso,2023-06-08
325,KW93 WKUO SF8X DFXJ ZXAM DARN NAT7 02,-5158.6,Retiro,2023-05-20
326,KZ57 527L 89FP BOP9 8MWK,-856.52,Retiro,2023-04-23
327,FI64 1514 4447 5571 30,-4131.73,Retiro,2023-08-19
328,DO34 OBIH 1139 0852 2197 4063 5472,1079.87,Ingreso,2023-06-30
329,GB84 XSON 6494 8259 7446 64,6280.58,Ingreso,2023-11-18
330,SE10 6359 3886 2152 6548 4131,3041.99,Ingreso,2023-05-31
331,FR66 7915 3518 97KU DIJT XZOO E96,-1827.43,Retiro,2023-01-20
