id,accountId,transactionType,amount,transactionDate
29,PL91 0740 3535 7473 3166 4184 4406,INGRESO,7850,2023-12-19
30,IL04 9395 1193 8143 1566 221,RETIRO,5552,2023-12-19
31,SA69 65LR W8T2 FUA4 NG7I NZIW,RETIRO,-2035,2023-12-19
32,FR95 9149 6057 224Q 1KKF E1D8 R46,INGRESO,7145,2023-12-19
33,IL39 3173 3288 5074 2372 639,RETIRO,-2666,2023-12-19
34,AD81 0854 4301 RUSV Y8G3 4EDI,RETIRO,1067,2023-12-19
35,LT42 6691 4096 8468 7095,RETIRO,6102,2023-12-19
36,TN87 4388 7708 2203 6555 3501,INGRESO,-6152,2023-12-19
37,FR67 7374 7444 90AY P7LL Y0C9 981,RETIRO,4153,2023-12-19
38,CZ04 3869 9718 5906 6657 4287,INGRESO,-5423,2023-12-19
39,GI94 AVMR 9KUB QGWL HPQE 2KO,RETIRO,-8166,2023-12-19
40,IE59 BNEI 7710 6398 1607 86,INGRESO,4516,2023-12-19
41,ME44 7157 9483 2112 7296 05,RETIRO,-2981,2023-12-19
42,BG08 UVGT 0396 30CP LFWN FU,RETIRO,-9130,2023-12-19
43,FR92 9564 5004 85ZH Y0U5 Z3GV G18,INGRESO,9579,2023-12-19
44,MK89 0004 KSKO 7GRE V26,INGRESO,8753,2023-12-19
45,CY69 3190 7458 V1JR CMQG OAMC 9AI0,INGRESO,1106,2023-12-19
46,AZ84 ZCDY VPCF LTMA NE0H 7U6P HVLK,INGRESO,5360,2023-12-19
47,GI44 LTDW 6EIL NH54 C6VX 6ET,RETIRO,-2392,2023-12-19
48,GE24 JP63 7485 3567 5534 26,INGRESO,9829,2023-12-19
49,DE82 0846 1652 5734 9577 43,RETIRO,-8539,2023-12-19
50,AZ70 NYDI NISE 2I1F 25JK IRNJ 6ST0,INGRESO,-6072,2023-12-19
51,LV72 FPTV AJKE PPQY FDRT F,INGRESO,-6972,2023-12-19
52,IS50 7310 3968 4520 7450 9978 44,RETIRO,3630,2023-12-19
53,CZ66 6618 4815 2534 1450 8617,RETIRO,5991,2023-12-19
54,ME76 7701 1370 5447 5121 16,RETIRO,-6024,2023-12-19
55,ME40 5885 8977 0206 5785 66,RETIRO,3689,2023-12-19
56,MU13 FAUR 9077 6495 7229 3756 855D OD,RETIRO,-6127,2023-12-19
57,CR68 0532 2152 1074 3816 2,INGRESO,7468,2023-12-19
58,KZ07 817F ZNLR NJKU MHWN,RETIRO,9328,2023-12-19
59,SA39 51FR UADN HRZZ JQO8 BP65,RETIRO,-6724,2023-12-19
60,FR76 5483 4029 83HP I52E XUCI 843,INGRESO,296,2023-12-19
61,FR61 6764 4192 27KL 8YKP CRZF 915,RETIRO,-1798,2023-12-19
62,EE84 5813 6871 6992 2391,INGRESO,-366,2023-12-19
63,GI50 MZFK A8OZ X3WH HPHM EQ4,RETIRO,2161,2023-12-19
64,KZ45 725J TONO VHZR U1EP,INGRESO,-1614,2023-12-19
65,LI51 8962 94U8 WUV2 3JGE S,INGRESO,4413,2023-12-19
66,NO22 0233 2147 073,INGRESO,5351,2023-12-19
67,DE42 9148 9543 5483 2478 94,INGRESO,-527,2023-12-19
68,TR82 5438 7UCJ IYFO L4AH PVJX DW,INGRESO,3041,2023-12-19
69,GL06 2681 3539 9255 02,INGRESO,-3990,2023-12-19
70,PS57 VJVB 5KFF XCDR RKKZ DZCS HWWY I,RETIRO,9002,2023-12-19
71,FR09 4499 6265 61UF Q1AR 7EOH U38,RETIRO,174,2023-12-19
72,LT41 2353 1082 8611 1551,INGRESO,-508,2023-12-19
73,FR90 1917 7854 333H TMDF RWUI Y54,INGRESO,-4580,2023-12-19
74,KW88 XVXK CM3V PS6W MHMI LU3E UOOL WU,RETIRO,-8257,2023-12-19
75,KW54 YPTT CY6V 9AGE G2N2 ISEZ D5TT P8,RETIRO,-2756,2023-12-19
76,DO45 DFGI 8708 8695 6941 3614 9024,INGRESO,1863,2023-12-19
77,NO13 0757 9669 725,INGRESO,-1078,2023-12-19
78,ES83 3721 1728 3414 4940 2668,INGRESO,-6758,2023-12-19
79,BA90 7431 9322 6792 8012,INGRESO,7587,2023-12-19
80,SE09 8864 3249 8891 4476 0856,INGRESO,-5834,2023-12-19
81,SM31 Q998 9036 145W B9F8 WA69 71T,INGRESO,6280,2023-12-19
82,AZ93 ILWS 0CDZ YKBY QROM NKEW CC1X,RETIRO,-4560,2023-12-19
83,IT78 A885 9598 144J FVHA ATN4 1OH,RETIRO,5392,2023-12-19
84,AZ84 XFZK LIRM DR9J ABTP U5CI NOXV,RETIRO,-2228,2023-12-19
85,AL37 1692 1756 JUN9 F0YU D9HR C0UR,RETIRO,-5439,2023-12-19
86,PT79 5398 7196 7741 9127 7851 9,INGRESO,-9657,2023-12-19
87,FR14 2662 0454 39JW WUBY OOGO O91,INGRESO,-9808,2023-12-19
88,LV59 PPVC 0SK1 5IQR PWML X,RETIRO,3713,2023-12-19
89,FR83 9245 6499 19WE CLCO W1DX P76,INGRESO,5079,2023-12-19
90,IL57 7522 0030 1563 5036 541,RETIRO,-164,2023-12-19
91,IT40 N685 7073 745N 193A D3AQ OSC,RETIRO,-5060,2023-12-19
92,BH69 ODBW GIX4 HOES D46J WB,INGRESO,-8772,2023-12-19
93,FI57 4433 5410 0295 18,RETIRO,5346,2023-12-19
94,FR03 6339 8272 70BQ 2WRK DGI2 Z00,RETIRO,-2619,2023-12-19
95,FR54 9098 3376 89BA O50A M3UC U33,RETIRO,-8470,2023-12-19
96,DE26 1752 8949 4446 4935 75,INGRESO,6675,2023-12-19
97,HR49 2407 5543 2324 9721 9,INGRESO,5837,2023-12-19
98,PS71 AUGZ AITU ATUU KZER UT0R GFGM W,INGRESO,5924,2023-12-19
99,LV30 VNCA OT65 PIHS IUIT I,INGRESO,1451,2023-12-19
100,RO16 UVNG T50I JAWC UD9Z RW8V,RETIRO,-7671,2023-12-19
101,PL73 1498 6950 2297 1108 1805 0760,RETIRO,7839,2023-12-19
102,KZ43 365I 0HML VNB8 Y9ED,INGRESO,-1700,2023-12-19
103,SI63 3689 6841 8840 444,RETIRO,-5929,2023-12-19
104,FR22 9563 6795 33FD S7FJ WXGB Y94,INGRESO,-5648,2023-12-19
105,FR79 0355 4330 74WS 4VRB GGXY J70,RETIRO,-3009,2023-12-19
106,PT51 9407 2258 6608 4020 9538 3,RETIRO,-2825,2023-12-19
107,AE93 1511 7706 3424 8875 162,INGRESO,9779,2023-12-19
108,PS58 MPNW XIWV 2QYV KYYT 5B2T UOOM N,RETIRO,-8957,2023-12-19
109,MK12 696A OG2X 7RWV 969,RETIRO,-2053,2023-12-19
110,FR68 0513 0564 60PK LDYS T2JD F16,INGRESO,3375,2023-12-19
111,LI66 6240 3FGY MDFN PQIT 4,INGRESO,-7599,2023-12-19
112,NL91 JOST 9997 7669 00,RETIRO,4986,2023-12-19
113,AE59 0857 6792 8874 4673 192,RETIRO,8485,2023-12-19
114,AE10 1060 5878 3029 7788 989,INGRESO,5439,2023-12-19
115,GB35 KDJG 7884 2435 0933 68,INGRESO,1368,2023-12-19
116,FO18 3059 2950 7455 45,INGRESO,-326,2023-12-19
117,SA36 46YU 1RLO 1MF5 0A6H JJYM,INGRESO,-5070,2023-12-19
118,DE48 3257 3543 1594 1282 07,INGRESO,-3354,2023-12-19
119,CH98 0223 4NV4 MRUV BLWZ 0,RETIRO,-7592,2023-12-19
120,LI85 4169 2HMB OTLS YG5Q X,INGRESO,8963,2023-12-19
121,SK84 7923 8259 0849 8209 5789,RETIRO,-9426,2023-12-19
122,ME83 4417 1179 0067 2720 47,INGRESO,2458,2023-12-19
123,GR02 2599 467C F9W9 GSW5 5RQ1 P9T,RETIRO,1032,2023-12-19
124,GL45 6358 6083 9461 81,INGRESO,4249,2023-12-19
125,IT09 O499 3255 7788 N1EV JPGS THB,RETIRO,-4061,2023-12-19
126,FR28 7076 9539 75ZC 0OCI G7VE G69,RETIRO,5090,2023-12-19
127,DO73 QFKY 6184 7322 9132 1792 7961,INGRESO,4745,2023-12-19
128,SM54 A330 3139 922L DCGB U8QR KLF,INGRESO,-6565,2023-12-19
129,FI28 5316 8973 1672 16,INGRESO,2799,2023-12-19
130,GB22 EWDT 2249 3309 3740 37,INGRESO,-5360,2023-12-19
131,MD34 Y70D WXAV N5KA DUPK GYEU,INGRESO,-6290,2023-12-19
132,BR26 4355 5367 0845 2921 4544 576M H,INGRESO,5027,2023-12-19
133,PK67 DDRO YKDA H6VT 1IWR ICNV,RETIRO,-5919,2023-12-19
134,BR91 9925 0937 4741 3817 6809 529E J,INGRESO,4815,2023-12-19
135,TR86 4041 96VA PW9A QUMY MEKY RV,INGRESO,-8051,2023-12-19
136,IE27 LXCJ 2817 9370 7584 45,INGRESO,-8424,2023-12-19
137,TN60 3611 5576 4888 4885 8298,RETIRO,-5724,2023-12-19
138,SA36 91MT YUPT NCJO HOFV GWRU,RETIRO,-294,2023-12-19
139,LI56 3464 4CKX FHEY X38E 1,INGRESO,8554,2023-12-19
140,MT39 ZXBS 4623 0YQ8 ZMGM 7TA0 OFDQ QC9,INGRESO,-6883,2023-12-19
141,KW18 UNSL WCFB YEQJ CASY NRS1 UB23 50,INGRESO,-1302,2023-12-19
142,GT84 PNYD O3FP 3RA2 WQ8Y YMGX VG3R,INGRESO,793,2023-12-19
143,SM81 F955 4167 339Q HJ2D UBY7 E4Z,INGRESO,4881,2023-12-19
144,CR51 4865 8203 1436 5176 7,RETIRO,478,2023-12-19
145,FR20 4372 6137 749A V4L2 JUZI O39,INGRESO,5802,2023-12-19
146,GR95 3396 769R OGSW N2SI YPBX YJC,RETIRO,6353,2023-12-19
147,FR12 9878 2728 116C WEDT XMMB L36,INGRESO,-10,2023-12-19
148,CZ56 3765 5773 5637 9898 4020,INGRESO,9915,2023-12-19
149,EE97 6302 7421 3924 4807,RETIRO,-5612,2023-12-19
150,IL95 2280 9896 9804 6240 930,RETIRO,5276,2023-12-19
151,CY47 8986 1267 GITX XL1R Q1U2 ZXME,RETIRO,-4092,2023-12-19
152,GT31 CQNP QIEV W6DW D4BG YPXR FW0V,RETIRO,7136,2023-12-19
153,LB46 0913 DVGD VCCO FLBN XQFG JMSS,INGRESO,-6488,2023-12-19
154,FR69 9971 5379 22I9 YDD6 QTXA F27,INGRESO,-871,2023-12-19
155,FR57 1968 8102 19E4 OEDN A3AW E80,RETIRO,-6358,2023-12-19
156,FR57 8862 7209 39OU G8ZM 1DPF X14,INGRESO,6612,2023-12-19
157,IT70 U895 2551 207Y MKIG WTSY XLP,INGRESO,-8657,2023-12-19
158,CY56 9725 0304 NOCR YAEZ LSPO BQKA,INGRESO,3522,2023-12-19
159,MC20 3353 5834 235X HB6Z 3PD2 Q68,RETIRO,5561,2023-12-19
160,AZ45 WGTF OM7D CER2 CNGU Y0E4 VCXJ,RETIRO,-8185,2023-12-19
161,CH82 2583 899Z CAZI NZB8 A,RETIRO,-3383,2023-12-19
162,MD12 5CAS B3GZ PSJE O7RJ QBTJ,INGRESO,8101,2023-12-19
163,FR76 9882 6755 65VG MVYK NGWB L94,RETIRO,-9721,2023-12-19
164,BA34 3018 1044 5503 2220,INGRESO,-3650,2023-12-19
165,KW16 RWIC B0GD 2USR C1EB C0YE U816 9L,INGRESO,3568,2023-12-19
166,PK54 FGSV HHKU QBL3 FNAM Y4MH,INGRESO,-4039,2023-12-19
167,GB18 DQIG 2053 5164 6299 79,RETIRO,-5636,2023-12-19
168,FI42 0127 0244 7533 26,RETIRO,-5733,2023-12-19
169,SE12 8168 3845 3895 2067 4496,INGRESO,495,2023-12-19
170,FR21 8495 9930 63I3 SANS X2HQ C01,INGRESO,5244,2023-12-19
171,FR08 5758 8095 336W U3HN ADVB B06,RETIRO,7114,2023-12-19
172,PT63 8847 2670 0883 0023 9283 2,INGRESO,2049,2023-12-19
173,HU35 6583 2784 9217 7625 7013 3485,RETIRO,-7575,2023-12-19
174,FR06 7517 6640 94YG U701 8EPO O93,INGRESO,4615,2023-12-19
175,GB52 KGTE 6347 7858 6797 06,INGRESO,-1496,2023-12-19
176,GE54 QB44 3157 9665 7854 76,RETIRO,-5669,2023-12-19
177,FR37 7299 6491 69LE IMYC 7GXO I64,INGRESO,4499,2023-12-19
178,KZ24 295H 89AI 4XMI NNLK,INGRESO,-2278,2023-12-19
179,MT79 RIFK 9663 9M3I TWDQ SXZM ZQYW UFD,INGRESO,8384,2023-12-19
180,MC34 1817 5329 95ZU TH92 J8IC N17,RETIRO,-8246,2023-12-19
181,LU23 276X 2IMW W4DJ ZVAJ,INGRESO,3664,2023-12-19
182,FR14 0974 0622 32A9 WZIP JQP3 Z93,RETIRO,-9735,2023-12-19
183,GR97 6106 175G 3WEZ 4V55 LBYO FJL,INGRESO,4155,2023-12-19
184,GL12 1467 3138 1806 16,INGRESO,3634,2023-12-19
185,MT62 XQAH 5582 4P8A 13YB GQQC HZDR DHO,INGRESO,5180,2023-12-19
186,BG43 BBBJ 9527 65XC DOMX C6,RETIRO,4953,2023-12-19
187,PK97 YIRE 1XUO BCZI O8BO QF1L,INGRESO,-5982,2023-12-19
188,FR75 9238 3168 03OI BXWF YYHL Q07,RETIRO,2561,2023-12-19
189,GE06 OH20 5961 7197 2190 48,INGRESO,8987,2023-12-19
190,RS60 0421 2159 7071 0361 32,RETIRO,-7311,2023-12-19
191,AL40 4759 5385 XCYD XDWE W0ZT XKZQ,RETIRO,-8759,2023-12-19
192,RS96 7889 6333 1280 1817 56,RETIRO,4995,2023-12-19
193,FR73 5538 7681 02PK ODNF PSI8 C98,RETIRO,-1287,2023-12-19
194,ES90 9306 7388 8681 2283 2541,INGRESO,-8823,2023-12-19
195,SA86 15NG YBUG F18P XIBE MGQ0,RETIRO,1666,2023-12-19
196,VG11 OEZE 1071 0456 3900 9892,RETIRO,-867,2023-12-19
197,DO19 RAR6 1091 8490 2277 7800 5683,RETIRO,-9469,2023-12-19
198,IE19 KQJZ 8290 7993 7333 24,INGRESO,-8236,2023-12-19
199,FR17 5830 0072 98TZ 2HSZ VMBK I84,INGRESO,6465,2023-12-19
200,DE94 0029 0179 5159 6361 22,INGRESO,9855,2023-12-19
201,RS17 2262 9157 8000 4052 57,INGRESO,-3428,2023-12-19
202,ME04 9547 9520 3323 3531 26,INGRESO,-6808,2023-12-19
203,GB56 NQSR 8857 5006 8783 89,RETIRO,-1965,2023-12-19
204,FR77 4414 2431 56HN ZRWB 7VGX G14,RETIRO,266,2023-12-19
205,BA28 7037 0249 3346 9055,INGRESO,-2614,2023-12-19
206,DE18 5546 2414 4705 6731 77,RETIRO,-1329,2023-12-19
207,FR06 4484 2999 97EX KP0Z 5JAU G55,INGRESO,6579,2023-12-19
208,LI92 2866 3N5I PIC7 ROQX L,RETIRO,5180,2023-12-19
209,AD95 7871 1645 30ET YTHS P7FV,RETIRO,-7988,2023-12-19
210,FR60 4035 6791 89Z1 8P28 RRSP J58,INGRESO,-6933,2023-12-19
211,MC78 6805 2656 52P5 CPXV 3KBQ L84,RETIRO,-5658,2023-12-19
212,MD61 BRDI H14Q 3SDR MHVD VRQL,INGRESO,-1466,2023-12-19
213,FR63 7534 6708 639J IYK0 NRTV W17,RETIRO,-4795,2023-12-19
214,CZ73 2476 8509 5582 2679 1417,INGRESO,7261,2023-12-19
215,LV58 ZUDK TTXY EYVB VW64 D,RETIRO,-3354,2023-12-19
216,BA31 6308 8442 4513 9769,RETIRO,-1472,2023-12-19
217,BE33 7780 7912 9224,RETIRO,-6162,2023-12-19
218,BA95 4016 9133 1230 7068,INGRESO,-3454,2023-12-19
219,SA69 323J RTPK BQHF ZNAA YSMA,INGRESO,-3649,2023-12-19
220,SM53 G791 8381 059P HFOC CEBG YDA,INGRESO,-5478,2023-12-19
221,MD06 8CGA YPMS RX8A W03S 9FVS,INGRESO,-6683,2023-12-19
222,GT85 IHKX DHOE BLS2 USB9 REDB CGM5,INGRESO,-6787,2023-12-19
223,FR21 6393 4162 27F3 O2AC NLF0 Q89,RETIRO,-8534,2023-12-19
224,MC21 0587 5705 15SJ OA8V WHPW A39,INGRESO,-3484,2023-12-19
225,KZ47 8266 VQPX JYV5 L5U5,RETIRO,-2089,2023-12-19
226,GR52 0020 868B UJ0G QIYS GDIT YXS,RETIRO,7184,2023-12-19
227,FO17 2072 0216 1380 13,RETIRO,-5311,2023-12-19
228,AD13 6274 2994 TNA5 E7KN KUN8,RETIRO,-2086,2023-12-19
229,GR45 4670 591V UVFZ XXZI QXRB TXD,RETIRO,1905,2023-12-19
230,LT34 2236 3282 0670 2064,RETIRO,-9772,2023-12-19
231,FR49 5972 9060 38ZM ZADV AOTQ 265,RETIRO,9609,2023-12-19
232,LT57 5685 7687 4035 0927,RETIRO,-7455,2023-12-19
233,AE78 9814 0186 6260 5447 617,INGRESO,-5821,2023-12-19
234,FR28 2666 0650 6571 AX0P B748 U18,RETIRO,5130,2023-12-19
235,FR26 4749 9465 30GB XYIC DOWW L12,INGRESO,4076,2023-12-19
236,FR71 4326 0585 01MM FFIY EW6V D34,RETIRO,-5884,2023-12-19
237,FR92 0116 4852 55MW SZXP IQVC I37,INGRESO,1958,2023-12-19
238,EE92 5801 7402 3785 2861,INGRESO,-4808,2023-12-19
239,DK48 1114 6000 2864 01,RETIRO,-4102,2023-12-19
240,FR12 3684 0979 60LO X5GC ZRWF D58,RETIRO,-2188,2023-12-19
241,GR48 3849 8217 JWJC TVGY KRAA 8P2,INGRESO,-5335,2023-12-19
242,NL16 XFOQ 3742 0508 02,RETIRO,-6241,2023-12-19
243,PS29 HVXE GFCT JQAH EHGO WQNX SDMF X,INGRESO,9201,2023-12-19
244,PL36 8966 7072 3536 2215 0743 3390,INGRESO,-397,2023-12-19
245,MD21 4NAJ 8SH3 KRWL 3SXB VTSR,RETIRO,-4185,2023-12-19
246,PS90 WXWH JJO2 IWL1 4F1N APRN GRAS B,INGRESO,6594,2023-12-19
247,CR12 5557 4423 3574 0496 1,RETIRO,4588,2023-12-19
248,FR08 1729 5234 36SU UAZU 3JH3 251,RETIRO,-6927,2023-12-19
249,MC17 9925 8198 668Q H1CX 0FNW F82,RETIRO,553,2023-12-19
250,HU95 3240 7689 8126 6493 6908 0378,RETIRO,-9226,2023-12-19
251,CY97 0066 8372 NBUZ TMNQ WNOD 9XJR,INGRESO,5528,2023-12-19
252,BE71 2295 2053 5521,INGRESO,2899,2023-12-19
253,FO72 6934 5026 0199 51,RETIRO,-4286,2023-12-19
254,IL77 9938 2979 4819 0169 116,RETIRO,-6940,2023-12-19
255,FR14 5073 2884 86FJ KSAJ UESD Y33,RETIRO,-7641,2023-12-19
256,BG48 JVPW 5669 094Z YDBU WL,INGRESO,-1588,2023-12-19
257,MD72 JJ7V 5DTJ KSJG H1RE AYOL,RETIRO,5351,2023-12-19
258,PS65 ATMV YDPK IOG9 AJLP IFSG VPMD W,INGRESO,-3961,2023-12-19
259,MU97 GYQT 1350 7405 1796 1244 696J WP,RETIRO,-6465,2023-12-19
260,MR52 3520 7770 4724 3487 9815 200,INGRESO,-9323,2023-12-19
261,FR09 5162 0085 56DI YJ7B TKXF Q19,RETIRO,193,2023-12-19
262,CR04 1247 6230 2594 5141 2,RETIRO,8572,2023-12-19
263,LV07 OVCQ FWJG 0COI C8PM M,INGRESO,9390,2023-12-19
264,FR97 0526 1523 30SK LYXC 2MRM J43,INGRESO,8340,2023-12-19
265,HR79 9270 1723 5830 8064 4,RETIRO,-5544,2023-12-19
266,GE05 EF41 2319 3383 4882 78,INGRESO,7984,2023-12-19
267,MK64 782R JX1D N3AC F21,INGRESO,-7627,2023-12-19
268,VG28 KYKL 6131 7421 8083 2483,RETIRO,-6202,2023-12-19
269,GT67 ICUO 8S3V GUQX 9DFH SDT2 BILG,INGRESO,-7809,2023-12-19
270,FR76 8794 2131 080C EJSP 6UXM O80,INGRESO,6281,2023-12-19
271,FO11 4199 8071 4112 82,INGRESO,-5918,2023-12-19
272,FR08 4051 7939 52SZ A6NK YSNG V20,INGRESO,135,2023-12-19
273,CH34 5467 8WGT VXMA JYZ0 V,INGRESO,5290,2023-12-19
274,MU89 VCPZ 9147 3164 6153 1665 763Z DC,RETIRO,-5343,2023-12-19
275,GE89 AU04 2660 2944 6673 06,INGRESO,-3820,2023-12-19
276,BE32 3795 4156 7998,RETIRO,1246,2023-12-19
277,AT08 3654 1424 6032 8203,INGRESO,-409,2023-12-19
278,AE09 5702 4005 2825 7715 081,RETIRO,5997,2023-12-19
279,FR30 7841 0859 74SZ 8IEH JPJB L89,INGRESO,-7620,2023-12-19
280,GL88 7649 2809 1456 58,INGRESO,-2294,2023-12-19
281,NO42 8014 6141 420,INGRESO,-8042,2023-12-19
282,FR59 3062 4560 0439 KD6Q VJRO T15,INGRESO,6610,2023-12-19
283,PT90 4712 4295 4699 5949 3964 5,RETIRO,4811,2023-12-19
284,BH66 BXOI BHMK AJBG C2XN I1,RETIRO,-8640,2023-12-19
285,KW50 BXKA T3CB ETVO CV63 SXBF U5WM M5,RETIRO,703,2023-12-19
286,BE53 5283 7046 4545,INGRESO,6852,2023-12-19
287,IT85 A705 2390 239I JKWI G504 3UV,INGRESO,130,2023-12-19
288,FR19 7884 5667 69EA CKKZ CIOD F12,RETIRO,4980,2023-12-19
289,FR96 1289 4189 31CM HMLK HKCH 527,INGRESO,4758,2023-12-19
290,IE19 AGFC 6503 7589 1110 68,RETIRO,-4404,2023-12-19
291,AZ44 YYRS APXT 9FIZ Y7NU 1YBC JAA9,RETIRO,5857,2023-12-19
292,AZ74 XDWK Y0MO B6WY CQ7X HLLU X3BT,INGRESO,-4932,2023-12-19
293,MR54 4998 7974 2604 8614 9363 976,RETIRO,2933,2023-12-19
294,TN15 5367 1915 9997 5065 0741,INGRESO,-7283,2023-12-19
295,LI66 4087 7GON FCJP HHIS 2,INGRESO,-3499,2023-12-19
296,FR54 1384 7828 53EX 5RBD IQPH H84,RETIRO,2467,2023-12-19
297,FR23 5933 0777 58IY GGJ2 ZQVU 532,INGRESO,7193,2023-12-19
298,FR15 0443 7414 73WN NYTQ FRLV S88,INGRESO,-4183,2023-12-19
299,KW66 KQNL Q4LM KUKP ENPC JDB8 MJIG TC,RETIRO,-6871,2023-12-19
300,MD09 MK76 PNVX WUGR 3EUB KWVM,INGRESO,7795,2023-12-19
301,CY64 4316 5581 1XNP NHFJ ABT1 TYGT,RETIRO,-5234,2023-12-19
302,LI16 8090 7RNH BCRM UU6Q R,RETIRO,-8707,2023-12-19
303,BA74 8766 5020 8697 0491,INGRESO,5470,2023-12-19
304,AZ29 UVFN 9WG8 EJY7 CFUB NCPF RTTD,INGRESO,454,2023-12-19
305,GI89 VYDP T03S UYFD YLPA N1F,RETIRO,2590,2023-12-19
306,GR59 9293 011L M5DE FEK8 5ETK ISF,RETIRO,1490,2023-12-19
307,FR56 6151 7863 67VE FQ1Z PB1I A86,RETIRO,-9436,2023-12-19
308,SI65 9027 3017 0563 589,RETIRO,-242,2023-12-19
309,KZ84 136A FSEZ QLBX UM2Z,INGRESO,-5738,2023-12-19
310,MD41 3VQO L7LE ZYNF KVYD HPXO,RETIRO,-5229,2023-12-19
311,FR22 9110 0092 26XQ 2ELU LSBI A69,RETIRO,-7622,2023-12-19
312,SM65 T793 8108 489X RW87 NU2V JVD,RETIRO,-9142,2023-12-19
313,SA52 06P4 T75X C2QX X4ZT XU9Y,RETIRO,7877,2023-12-19
314,FR22 9345 7590 68G1 QPX4 URPH 932,INGRESO,-3864,2023-12-19
315,FO16 0072 3128 1648 76,INGRESO,3592,2023-12-19
316,MU13 BIJR 4823 3560 5440 2957 510L LG,INGRESO,-8219,2023-12-19
317,MD33 JC4X EOUY MLZL QHZQ RAUD,INGRESO,-9520,2023-12-19
318,FR90 8842 4633 07CV DZRB BTDR S28,INGRESO,6989,2023-12-19
319,SI82 0296 3944 0910 518,RETIRO,7212,2023-12-19
320,LB77 1797 INXK EWDT 50UH O8BC UXIY,RETIRO,3354,2023-12-19
321,AE62 7774 4467 6335 8124 131,INGRESO,4960,2023-12-19
322,FR54 0203 3883 23LE QQJI MATZ D18,INGRESO,-8352,2023-12-19
323,IS64 7972 2988 0287 6608 3686 20,INGRESO,-4451,2023-12-19
324,DO92 TTRV 5423 8796 5273 1053 2606,RETIRO,-4510,2023-12-19
325,SA41 24YY 7JAQ VVEM O3KV RK3S,INGRESO,-4209,2023-12-19
326,NL41 OHEC 7799 8306 80,RETIRO,6609,2023-12-19
327,CR23 8198 0424 2182 7817 8,INGRESO,-3422,2023-12-19
328,FR30 8661 1070 80UU RSPM ZTRF A09,RETIRO,3219,2023-12-19
329,SE52 8654 6511 3609 8854 6709,RETIRO,-3023,2023-12-19
330,FR27 4557 5324 451H 1W1U LILI J81,INGRESO,6491,2023-12-19
331,SA11 87SQ 9HQI LRKP 7SIT Q01P,RETIRO,-666,2023-12-19
332,IS71 0584 9790 2576 8876 1121 74,INGRESO,-4590,2023-12-19
333,MR64 6156 0011 1111 2752 5847 943,RETIRO,-1186,2023-12-19
334,AE33 0806 1551 8929 1968 885,RETIRO,-160,2023-12-19
335,BE60 8506 5497 7945,INGRESO,-233,2023-12-19
336,AE94 0050 6060 6632 0917 860,RETIRO,-6039,2023-12-19
337,CH74 8714 6X9G VJM2 DIPX 8,RETIRO,3838,2023-12-19
338,NL50 XMDC 5827 9870 70,RETIRO,69,2023-12-19
339,GR21 5661 429X FJ83 SYGB KGKU O8L,RETIRO,2100,2023-12-19
340,GL44 5447 6512 1273 04,INGRESO,-3712,2023-12-19
